BGG Rank,Complexity Average,Mech_role_camp,Strategy,Wargames
7920,2.0,0,0,0
5462,2.77,0,0,0
16985,1.86,0,0,0
1887,1.91,0,1,0
14560,2.83,0,0,1
4328,1.62,1,0,0
8441,1.33,0,0,0
2746,2.94,1,0,0
11003,1.14,0,0,0
7406,3.33,1,0,0
10182,1.38,1,0,0
587,2.55,1,1,0
2725,2.32,1,0,0
18871,1.86,0,0,1
3573,1.77,0,0,0
1815,1.32,0,0,0
14747,1.29,0,0,0
5974,1.92,1,0,0
1226,3.2,0,1,0
3720,1.32,0,0,0
3288,2.3,0,1,0
18350,0.0,0,0,0
14254,2.88,0,0,1
19506,1.0,0,0,0
16555,1.33,0,0,0
9895,1.5,0,0,0
8959,2.0,0,0,1
6317,3.06,1,1,0
5571,3.18,1,0,1
7916,1.58,1,0,0
11123,2.0,0,0,0
6199,1.9,0,0,0
7760,2.45,0,0,1
15939,2.0,1,0,0
1310,2.94,0,1,0
6093,1.93,1,0,0
1455,2.5,1,0,0
4925,2.6,0,0,0
396,2.77,1,0,0
17507,1.0,0,0,0
16268,1.0,0,0,0
3066,1.93,0,0,0
8844,1.7,0,1,0
6779,3.8,1,0,0
6927,2.75,0,0,0
10452,1.75,1,0,0
8660,1.64,0,0,0
16164,0.0,0,0,0
819,1.6,0,0,0
1563,2.86,1,1,0
17172,2.54,0,0,1
12327,3.0,0,0,0
12455,1.0,0,0,0
11643,1.86,0,0,0
11570,1.5,0,0,0
9518,3.22,1,0,1
17397,1.22,0,0,0
12994,2.0,0,0,0
9662,2.48,1,0,1
11425,2.0,0,0,0
15821,2.71,0,0,1
19028,1.0,1,0,0
19033,0.0,0,0,0
4336,1.92,1,0,0
6996,2.25,1,0,0
9412,1.0,0,0,0
15463,1.33,0,0,0
2501,1.9,0,0,0
6020,1.66,0,0,0
6453,1.6,0,0,0
9675,2.82,0,0,1
15833,1.57,0,0,0
9463,3.67,1,0,1
18123,1.0,0,0,0
11125,1.33,0,0,0
5750,3.68,1,0,0
5950,1.83,1,0,0
19532,1.77,0,0,0
1683,3.31,0,1,0
18090,1.0,0,0,0
19212,1.0,0,0,0
15409,2.26,0,0,0
463,3.52,1,1,0
2670,2.94,1,0,1
2457,1.55,0,0,0
6872,1.8,0,0,0
13398,1.09,0,0,0
11677,3.18,1,0,1
3410,3.26,1,0,0
6688,1.26,0,0,0
4722,3.25,0,0,0
15704,2.0,0,0,0
12372,2.0,0,0,0
14071,1.0,0,0,0
13307,1.64,0,0,0
7021,2.56,1,0,0
1275,3.24,1,1,0
6595,1.53,0,0,0
12662,2.57,0,0,1
17324,1.33,0,0,0
3402,2.83,1,0,0
10140,3.5,1,0,1
6868,1.45,0,0,0
9083,2.56,0,0,1
18867,1.0,0,0,0
13922,1.0,0,0,0
2378,2.1,0,1,0
14617,2.0,0,0,0
8152,2.5,0,0,0
20280,1.78,1,1,0
13029,1.5,1,0,0
794,1.63,0,0,0
13009,3.83,0,0,1
11518,1.43,0,0,0
13546,2.36,0,0,1
14409,1.6,1,0,0
16840,2.09,0,0,0
6338,1.26,0,0,0
8598,1.0,0,0,0
8046,1.4,1,0,0
12854,1.67,1,0,0
1908,2.32,0,1,0
6812,3.17,1,0,1
16407,1.0,0,0,0
12901,1.0,0,0,0
4770,2.95,0,0,0
8129,1.0,0,0,0
15474,1.75,0,0,0
3225,2.37,0,1,0
13004,2.0,0,0,0
11902,2.0,1,0,1
6109,3.0,1,0,1
9572,2.67,0,0,1
309,2.24,0,1,0
17171,2.2,0,0,0
11058,1.33,0,0,0
1247,1.86,1,0,0
17685,1.6,0,0,0
5331,4.2,1,0,1
12130,1.33,0,0,0
8785,1.84,1,0,1
9122,1.5,1,0,0
9182,1.8,0,0,0
19658,2.25,0,0,0
15878,2.57,0,0,1
16132,1.4,0,0,0
20037,1.09,0,0,1
20096,1.4,0,0,0
7509,3.09,0,0,1
11689,3.0,1,0,0
11040,2.0,0,0,0
16563,1.0,0,0,0
9766,2.0,1,0,0
12513,1.75,1,0,0
12640,2.86,1,0,1
8558,2.69,0,0,0
3686,1.79,0,0,0
13965,1.33,0,0,0
2217,3.68,0,0,1
6795,3.0,0,0,1
13218,3.22,1,0,1
3552,3.62,1,0,1
19609,1.4,0,0,0
9506,1.67,0,0,0
500,4.34,1,1,0
9027,1.0,0,0,0
20308,1.26,0,0,0
13936,1.0,0,0,0
11119,3.25,0,0,1
8642,3.0,0,0,0
12028,1.0,0,0,0
17831,2.67,0,0,0
18715,1.67,0,0,0
3087,1.73,0,0,0
19758,1.67,0,0,0
17297,1.13,0,0,0
1465,1.66,1,0,0
5346,1.84,1,0,0
15118,1.5,0,0,0
19920,2.2,0,0,0
16430,1.0,0,0,0
3117,3.5,1,0,0
13932,2.0,0,0,0
13448,1.95,0,0,0
4429,2.58,1,0,1
17196,1.25,1,0,0
18645,4.17,1,1,0
16378,2.0,0,0,0
15671,1.47,0,0,0
3285,3.57,1,0,0
3465,2.76,0,1,0
4883,3.76,0,1,0
2188,2.54,1,1,0
14832,0.0,0,0,0
13113,2.36,0,0,1
1538,1.41,0,0,0
461,2.21,1,0,0
820,2.14,1,0,0
4118,2.15,0,0,0
6493,1.5,0,0,0
12870,1.76,0,0,0
5243,1.0,0,0,0
14472,1.0,0,0,0
6019,3.37,1,1,0
17598,1.5,0,0,0
12872,2.14,0,0,1
17665,1.33,0,0,0
15088,1.88,1,0,0
4475,2.17,0,0,0
12295,1.39,0,0,0
11742,4.1,1,0,1
7813,2.0,0,0,0
13508,1.0,0,0,0
10561,3.25,1,0,1
1733,1.75,0,0,0
17402,1.0,1,0,0
11273,1.67,0,0,0
15112,2.0,0,0,0
2687,2.52,0,1,0
2086,1.87,0,0,0
16684,0.0,0,0,0
